time,Campus Ave & Library Rd to Campus Ave & P2,Campus Ave & Library Rd to Library Rd & P1,Campus Ave & P2 to Campus Ave & University Dr,Campus Ave & P6 to Campus Ave & Library Rd,Campus Ave & P6 to Roundabout,Campus Ave & University Dr to Library Rd & University Dr,Campus Ave & University Dr to Raven Rd & University Dr,Library Rd & P1 to Campus Ave & Library Rd,Library Rd & P1 to Library Rd & University Dr,Library Rd & University Dr to Colonel By Dr & University Dr,P3 & Raven Rd to Raven Rd & University Dr,P4 & University Dr to Raven Rd & University Dr,P4 & University Dr to Stadium Way & University Dr,P5 & Stadium Way to Bronson Ave & Stadium Way,P5 & Stadium Way to Stadium Way & University Dr,Raven Rd & University Dr to Campus Ave & University Dr,Raven Rd & University Dr to P4 & University Dr,Roundabout to Bronson Ave & University Dr,Stadium Way & University Dr to P5 & Stadium Way,Stadium Way & University Dr to Roundabout
4520.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.0,0.0,0.0,2.9104777148277132,3.2356136477142243,0.49358010555857484,1.8290647607909105,0.0,0.0,2.9026502530157665,0.49358010555857484,4.2465464379099,0.0,1.3076885744059894
4521.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.0,0.0,0.0,2.9104777148277132,3.2356136477142243,0.49358010555857484,1.8290647607909105,0.0,0.0,2.9026502530157665,0.49358010555857484,4.2465464379099,0.0,1.3076885744059894
4522.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.0,0.0,0.0,2.9104777148277132,3.2356136477142243,0.49358010555857484,1.371798570593183,0.0,0.0,2.9026502530157665,0.49358010555857484,4.2465464379099,0.0,1.9615328616089842
4523.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.0,0.0,0.0,0.0,3.2356136477142243,0.0,1.371798570593183,0.0,0.0,2.9026502530157665,0.9871602111171497,3.53878869825825,0.0,1.9615328616089842
4524.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.0,0.0,0.0,0.0,3.2356136477142243,0.0,1.371798570593183,0.0,0.0,2.9026502530157665,0.9871602111171497,3.53878869825825,0.0,1.9615328616089842
4525.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.0,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,1.371798570593183,0.0,0.0,3.2251669477952962,0.9871602111171497,4.2465464379099,0.0,1.9615328616089842
4526.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,1.371798570593183,0.0,0.0,2.9026502530157665,0.9871602111171497,4.2465464379099,0.0,1.9615328616089842
4527.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,0.9871602111171497,4.2465464379099,0.0,2.615377148811979
4528.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,0.9871602111171497,4.2465464379099,0.0,1.9615328616089842
4529.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,0.9871602111171497,4.2465464379099,0.0,1.9615328616089842
4530.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,3.7748825889999287,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,0.9871602111171497,4.95430417756155,0.0,1.9615328616089842
4531.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.7748825889999287,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,0.9871602111171497,5.6620619172132,0.0,1.3076885744059894
4532.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,0.9871602111171497,4.95430417756155,0.0,1.3076885744059894
4533.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,0.9871602111171497,4.95430417756155,0.0,1.3076885744059894
4534.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.5801335582362372,0.9871602111171497,4.95430417756155,0.0,1.3076885744059894
4535.0,0.0,0.0,0.0,0.0,0.0,4.062961530220955,0.32251669477952966,0.0,0.0,0.0,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,0.9871602111171497,5.6620619172132,0.0,1.3076885744059894
4536.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.0,0.9145323803954553,0.0,0.0,2.9026502530157665,0.9871602111171497,4.95430417756155,0.0,1.3076885744059894
4537.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.49358010555857484,0.9145323803954553,0.0,0.0,2.9026502530157665,0.49358010555857484,4.2465464379099,0.0,1.3076885744059894
4538.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.49358010555857484,0.9145323803954553,0.0,0.0,2.9026502530157665,0.49358010555857484,4.2465464379099,0.0,1.3076885744059894
4539.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.32251669477952966,0.0,0.0,2.9104777148277132,3.2356136477142243,0.49358010555857484,0.9145323803954553,0.0,0.0,2.9026502530157665,0.49358010555857484,4.2465464379099,0.0,1.3076885744059894
4540.0,0.0,0.0,0.0,0.0,0.0,3.8694871716390047,0.6450333895590593,0.0,0.0,0.0,3.7748825889999287,0.49358010555857484,0.9145323803954553,0.0,0.0,2.5801335582362372,0.49358010555857484,4.95430417756155,0.0,0.6538442872029947
4541.0,0.0,0.0,0.0,0.0,0.0,3.6760128130570546,0.6450333895590593,0.0,0.0,2.9104777148277132,3.7748825889999287,0.49358010555857484,0.45726619019772763,0.0,0.0,2.5801335582362372,0.49358010555857484,4.95430417756155,0.0,1.3076885744059894
4542.0,0.0,0.0,0.0,0.0,0.0,3.6760128130570546,0.6450333895590593,0.0,0.0,2.9104777148277132,3.2356136477142243,0.49358010555857484,0.45726619019772763,0.0,0.0,2.9026502530157665,0.49358010555857484,4.95430417756155,0.0,1.3076885744059894
4543.0,0.0,0.0,0.0,0.0,0.0,3.6760128130570546,0.6450333895590593,0.0,0.0,2.9104777148277132,3.2356136477142243,0.49358010555857484,0.45726619019772763,0.0,0.0,2.9026502530157665,0.49358010555857484,4.95430417756155,0.0,1.3076885744059894
